1019762671;Annie;PeNa;F;ajpena;ajpena@unbosque.edu.co;20/12/2004;ACTIVO;Ingenieria de Sistemas;Diurno;Bogota D.C;20/12/2004
1397115419;Josefa;Vidal;F;jvi443;josefavif55@gmail.com;21/08/2004;INACTIVO;Ingenieria Industrial;Diurno;Brasil;27/06/2012
1025409124;Pedro;Suarez;M;psu600;pedrosum33@gmail.com;28/12/2004;INACTIVO;Ingenieria Industrial;Diurno;Brasil;26/06/2012
1218166421;Manuela;Rojo;F;mro390;manuelarof20@gmail.com;03/03/2004;INACTIVO;Ingenieria Industrial;Diurno;Argentina;03/07/2012
1763756702;Jesus;Porras;M;jpo671;jesuspom99@gmail.com;01/09/2002;INACTIVO;Ingenieria Industrial;Diurno;Brasil;22/06/2012
1170551429;Alberto;Montoro;M;amo289;albertomom42@gmail.com;16/12/2004;INACTIVO;Ingenieria Electronica;Diurno;Brasil;26/07/2012
1503260728;Jose Luis;Minana;M;jmi457;jose luismim75@gmail.com;09/02/2000;INACTIVO;Ingenieria Industrial;Diurno;Bogota D.C;14/06/2012
1410549140;Enrique;Merino;M;eme735;enriquemem91@gmail.com;14/06/2001;INACTIVO;Ingenieria Electronica;Nocturno;Bogota D.C;29/06/2012
1302477712;Silvia;Mendez;F;sme234;silviamef3@gmail.com;15/09/2002;INACTIVO;Ingenieria Ambiental;Diurno;Argentina;13/06/2012
1032937796;Juan Diego;Mateus Ortega;M;jmateuso;jmateuso@unbosque.edu.co;11/12/2004;ACTIVO;Ingenieria de Sistemas;Diurno;Bogota D.C;11/12/2004
1272538159;Marta;Marcos;F;mma161;martamaf66@gmail.com;25/10/2000;INACTIVO;Ingenieria Ambiental;Diurno;Brasil;01/06/2012
1246061821;Javier;Madrid;M;jma862;javiermam38@gmail.com;08/08/2001;INACTIVO;Bioingenieria;Diurno;Argentina;28/06/2012
1050552146;Sonia;Lopez;F;slo343;sonialof16@gmail.com;06/11/1999;INACTIVO;Ingenieria Industrial;Diurno;Bogota D.C;04/06/2012
1130066574;Salvador;Jordan;M;sjo848;salvadorjom9@gmail.com;20/12/2002;INACTIVO;Ingenieria Ambiental;Diurno;Brasil;02/07/2012
1651983979;Jaime;Jimenez;M;jji553;jaimejim13@gmail.com;07/02/1999;INACTIVO;Ingenieria Industrial;Diurno;Argentina;13/07/2012
1331753465;Javier;Ibarra;M;jib156;javieribm60@gmail.com;12/03/2001;INACTIVO;Ingenieria Ambiental;Diurno;Brasil;07/06/2012
1115423547;Begona;Hernandez;F;bhe74;begonahef75@gmail.com;26/09/2003;INACTIVO;Ingenieria de Sistemas;Nocturno;Bogota D.C;30/05/2012
1098919841;Lucia;Gracia;F;lgr703;luciagrf93@gmail.com;17/12/1999;INACTIVO;Ingenieria Industrial;Diurno;Angola;25/07/2012
1231453244;Inmaculada;Gonzalez;F;igo607;inmaculadagof54@gmail.com;15/08/2001;INACTIVO;Ingenieria Ambiental;Diurno;Angola;15/06/2012
